oneTeam,url,two,twoTeam,one
"Jayce,Kalista,Pyke,Zed,Kindred",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280579423&summonerId=64250795&gameTime=1532253937,(Blue Team),"Zoe,Zyra,Trundle,Darius,Jhin",(Red Team)
"Dr. Mundo,Lee Sin,Kled,Kai'Sa,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3279721796&summonerId=64250795&gameTime=1532175891,(Red Team),"Poppy,Nocturne,Zoe,Irelia,Zilean",(Blue Team)
"Renekton,Gragas,Lucian,Mordekaiser,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280041137&summonerId=41913808&gameTime=1532193348,(Blue Team),"Aatrox,Jarvan IV,Galio,Karthus,Alistar",(Red Team)
"Kennen,Zac,Talon,Yasuo,Alistar",http://www.op.gg/summoner/matches/ajax/detail/gameId=3279771105&summonerId=64250795&gameTime=1532177841,(Blue Team),"Gragas,Camille,Zoe,Ezreal,Vel'Koz",(Red Team)
"Swain,Rakan,Olaf,Yasuo,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3278242712&summonerId=41913808&gameTime=1532084066,(Red Team),"Poppy,Karma,Shen,Lucian,Kindred",(Blue Team)
"Jax,Syndra,Kindred,Ezreal,Janna",http://www.op.gg/summoner/matches/ajax/detail/gameId=3278562919&summonerId=41913808&gameTime=1532091352,(Red Team),"Lulu,Graves,Camille,Yasuo,Orianna",(Blue Team)
"Irelia,Gragas,Yasuo,Dr. Mundo,Soraka",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280045019&summonerId=41913808&gameTime=1532195244,(Blue Team),"Darius,Ashe,Morgana,Taliyah,Gnar",(Red Team)
"Gragas,Rek'Sai,Syndra,Ezreal,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3278095539&summonerId=41913808&gameTime=1532081702,(Blue Team),"Darius,Xin Zhao,Ryze,Miss Fortune,Morgana",(Red Team)
"Pyke,Poppy,Fiddlesticks,Quinn,Evelynn",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280666029&summonerId=64250795&gameTime=1532257410,(Blue Team),"Karthus,Evelynn,Lucian,Yasuo,Sona",(Red Team)
"Irelia,Elise,LeBlanc,Lucian,Leona",http://www.op.gg/summoner/matches/ajax/detail/gameId=3278080816&summonerId=41913808&gameTime=1532078481,(Blue Team),"Gangplank,Kindred,Ryze,Draven,Soraka",(Red Team)
"Rakan,Swain,Aatrox,Xin Zhao,Kled",http://www.op.gg/summoner/matches/ajax/detail/gameId=3278065703&summonerId=41913808&gameTime=1532076504,(Blue Team),"Kindred,Jayce,Janna,Lucian,Kennen",(Red Team)
"Leona,Camille,Gnar,Galio,Vladimir",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277829358&summonerId=41913808&gameTime=1532057480,(Red Team),"Trundle,Rakan,Irelia,Darius,LeBlanc",(Blue Team)
"Rumble,Kha'Zix,Yasuo,Irelia,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3278008914&summonerId=41913808&gameTime=1532074067,(Blue Team),"Darius,Nidalee,Jayce,Draven,Morgana",(Red Team)
"Kennen,Rakan,Kai'Sa,LeBlanc,Camille",http://www.op.gg/summoner/matches/ajax/detail/gameId=3278574471&summonerId=41913808&gameTime=1532093558,(Blue Team),"Lucian,Yasuo,Pyke,Kindred,Irelia",(Red Team)
"Camille,Ekko,Darius,Draven,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277690648&summonerId=41913808&gameTime=1532021223,(Blue Team),"Swain,Lee Sin,Galio,Xayah,Gragas",(Red Team)
"Ryze,Taliyah,Darius,Ezreal,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277613659&summonerId=41913808&gameTime=1532012669,(Blue Team),"Gangplank,Kindred,Galio,Lucian,Rakan",(Red Team)
"Kled,Nidalee,Jayce,Orianna,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277715157&summonerId=41913808&gameTime=1532025014,(Red Team),"Rumble,Kindred,Zed,Swain,Gragas",(Blue Team)
"Kindred,Shen,Syndra,Vladimir,Camille",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277558635&summonerId=41913808&gameTime=1532010998,(Blue Team),"Gangplank,Swain,Anivia,Nidalee,Pyke",(Red Team)
"Darius,Taliyah,Lissandra,Vladimir,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277589685&summonerId=41913808&gameTime=1532015069,(Blue Team),"Kled,Evelynn,LeBlanc,Lucian,Rakan",(Red Team)
"Dr. Mundo,Ezreal,Yasuo,Nocturne,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277674684&summonerId=41913808&gameTime=1532017956,(Blue Team),"Zed,Poppy,Orianna,Sejuani,Morgana",(Red Team)
"Nidalee,Alistar,Aatrox,Renekton,Yasuo",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277554481&summonerId=41913808&gameTime=1532009158,(Red Team),"Kled,Kindred,Lissandra,Shen,Ezreal",(Blue Team)
"Ashe,Gragas,Tahm Kench,Renekton,Urgot",http://www.op.gg/summoner/matches/ajax/detail/gameId=3333225941&summonerId=74750546&gameTime=1536214441,(Red Team),"Irelia,Aatrox,Jax,Janna,Kai'Sa",(Blue Team)
"Poppy,Gragas,Kassadin,Ashe,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3333232961&summonerId=74750546&gameTime=1536212282,(Red Team),"Irelia,Camille,Zoe,Ezreal,Morgana",(Blue Team)
"Kai'Sa,Gragas,Camille,Irelia,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3332978294&summonerId=74750546&gameTime=1536161220,(Blue Team),"Swain,Vayne,Xin Zhao,Jax,LeBlanc",(Red Team)
"Olaf,Caitlyn,Fiddlesticks,Fizz,Aatrox",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277693807&summonerId=41913808&gameTime=1532023002,(Blue Team),"Syndra,Morgana,Varus,Camille,Lee Sin",(Red Team)
"Kai'Sa,Leona,Xin Zhao,Irelia,Urgot",http://www.op.gg/summoner/matches/ajax/detail/gameId=3332825859&summonerId=74750546&gameTime=1536151663,(Red Team),"Katarina,Gnar,Lee Sin,Alistar,Yasuo",(Blue Team)
