oneTeam,url,two,twoTeam,one
"Sion,Taliyah,Aatrox,Yasuo,Poppy",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369672661&summonerId=41913808&gameTime=1538674491,(Red Team),"Jarvan IV,Gragas,Kled,Xayah,Thresh",(Blue Team)
"Alistar,Nidalee,Varus,Camille,Akali",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369574070&summonerId=41913808&gameTime=1538666524,(Red Team),"Graves,LeBlanc,Yasuo,Pyke,Aatrox",(Blue Team)
"LeBlanc,Lee Sin,Jayce,Xayah,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3368526118&summonerId=41913808&gameTime=1538591270,(Red Team),"Soraka,Ezreal,Lissandra,Aatrox,Gragas",(Blue Team)
"Gangplank,Lee Sin,Kassadin,Irelia,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369047819&summonerId=41913808&gameTime=1538630407,(Blue Team),"Urgot,Gragas,LeBlanc,Tristana,Poppy",(Red Team)
"Nidalee,Gragas,Pyke,Ezreal,Akali",http://www.op.gg/summoner/matches/ajax/detail/gameId=3367072849&summonerId=41913808&gameTime=1538501599,(Blue Team),"Sion,Thresh,Graves,Zoe,Lucian",(Red Team)
"Kindred,Irelia,Alistar,Yasuo,Ryze",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369823105&summonerId=41913808&gameTime=1538713922,(Blue Team),"Kai'Sa,Gragas,Thresh,Aatrox,Akali",(Red Team)
"Pyke,Taliyah,Darius,Jhin,Urgot",http://www.op.gg/summoner/matches/ajax/detail/gameId=3368464120&summonerId=41913808&gameTime=1538583639,(Red Team),"Xin Zhao,Kennen,Ezreal,Thresh,Lissandra",(Blue Team)
"Irelia,Thresh,Kai'Sa,Xin Zhao,Galio",http://www.op.gg/summoner/matches/ajax/detail/gameId=3368477969&summonerId=41913808&gameTime=1538586468,(Red Team),"Gangplank,Taliyah,Gragas,Yasuo,Akali",(Blue Team)
"Alistar,Xin Zhao,Yasuo,Irelia,Kai'Sa",http://www.op.gg/summoner/matches/ajax/detail/gameId=3366809910&summonerId=41913808&gameTime=1538490137,(Blue Team),"Gragas,LeBlanc,Varus,Rengar,Aatrox",(Red Team)
"Akali,Lee Sin,Xerath,Tristana,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3367006446&summonerId=41913808&gameTime=1538499711,(Blue Team),"Urgot,Graves,Lissandra,Yasuo,Pyke",(Red Team)
"Kha'Zix,Gragas,Poppy,Katarina,Kai'Sa",http://www.op.gg/summoner/matches/ajax/detail/gameId=3368513084&summonerId=41913808&gameTime=1538588492,(Blue Team),"Jayce,Aatrox,Lucian,Lee Sin,Shen",(Red Team)
"Jayce,Morgana,Darius,Lee Sin,Jinx",http://www.op.gg/summoner/matches/ajax/detail/gameId=3368518881&summonerId=41913808&gameTime=1538593187,(Blue Team),"Irelia,Fizz,Gragas,Alistar,Jarvan IV",(Red Team)
"Urgot,Taliyah,Aatrox,Ezreal,Blitzcrank",http://www.op.gg/summoner/matches/ajax/detail/gameId=3366748298&summonerId=41913808&gameTime=1538488191,(Blue Team),"Jax,Lee Sin,Akali,Varus,Gragas",(Red Team)
"Lee Sin,Ezreal,Pyke,Ornn,Vayne",http://www.op.gg/summoner/matches/ajax/detail/gameId=3364317240&summonerId=41913808&gameTime=1538298611,(Red Team),"Master Yi,Braum,Lucian,Janna,Blitzcrank",(Blue Team)
"LeBlanc,Aatrox,Yasuo,Lucian,Taric",http://www.op.gg/summoner/matches/ajax/detail/gameId=3364293740&summonerId=41913808&gameTime=1538297585,(Red Team),"Rakan,Brand,Vayne,Ekko,Caitlyn",(Blue Team)
"Camille,Morgana,Pyke,Sion,Jhin",http://www.op.gg/summoner/matches/ajax/detail/gameId=3365209505&summonerId=41913808&gameTime=1538370274,(Red Team),"Irelia,Alistar,Taliyah,Ezreal,Urgot",(Blue Team)
"Gragas,Gangplank,Pyke,Jinx,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3364503066&summonerId=41913808&gameTime=1538300721,(Red Team),"Akali,Yasuo,Irelia,Rakan,Nidalee",(Blue Team)
"Miss Fortune,Kog'Maw,Xayah,Karma,Heimerdinger",http://www.op.gg/summoner/matches/ajax/detail/gameId=3363499814&summonerId=41913808&gameTime=1538236360,(Blue Team),"Dr. Mundo,Ziggs,Twitch,Nautilus,Darius",(Red Team)
"Ezreal,Kayle,Alistar,Kog'Maw,Ekko",http://www.op.gg/summoner/matches/ajax/detail/gameId=3363546939&summonerId=41913808&gameTime=1538237742,(Blue Team),"Kha'Zix,Corki,Morgana,Nami,Maokai",(Red Team)
"Gnar,Blitzcrank,Kha'Zix,Syndra,Draven",http://www.op.gg/summoner/matches/ajax/detail/gameId=3361268412&summonerId=41913808&gameTime=1538129178,(Blue Team),"Lucian,Aatrox,Thresh,Ryze,Kayn",(Red Team)
"Shyvana,Tahm Kench,Kassadin,Kai'Sa,Alistar",http://www.op.gg/summoner/matches/ajax/detail/gameId=3359437537&summonerId=41913808&gameTime=1537963320,(Blue Team),"Ahri,Amumu,Rumble,Tristana,Braum",(Red Team)
