url,two,one,oneTeam,result,twoTeam
http://www.op.gg/summoner/matches/ajax/detail/gameId=3327169869&summonerId=56921556&gameTime=1535725345,(Blue Team),(Red Team),"Ryze,Jax,Aurelion Sol,Varus,Alistar",Defeat,"Gangplank,Graves,Karthus,Jhin,Pyke"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3327250174&summonerId=56921556&gameTime=1535727576,(Red Team),(Blue Team),"Gnar,Kindred,Irelia,Sivir,Morgana",Victory,"Poppy,Gragas,Darius,Kai'Sa,Soraka"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3365831372&summonerId=25260179&gameTime=1538402414,(Blue Team),(Red Team),"Sona,Thresh,Brand,Fizz,Sivir",Defeat,"Lulu,Ezreal,Kayle,Vel'Koz,Malphite"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3365734477&summonerId=25260179&gameTime=1538400536,(Blue Team),(Red Team),"Karma,Zilean,Master Yi,Gangplank,Jayce",Defeat,"Ziggs,Zed,Leona,Illaoi,Pyke"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3365476789&summonerId=25260179&gameTime=1538391094,(Blue Team),(Red Team),"Gangplank,Taliyah,LeBlanc,Twitch,Lulu",Defeat,"Rumble,Gragas,Aatrox,Irelia,Pyke"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3365514393&summonerId=25260179&gameTime=1538393888,(Red Team),(Blue Team),"Kai'Sa,Jayce,Yasuo,Gragas,Pyke",Victory,"Irelia,Lucian,Taliyah,Shen,Jarvan IV"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3365490779&summonerId=25260179&gameTime=1538388873,(Blue Team),(Red Team),"Gangplank,Taliyah,Irelia,Kalista,Thresh",Defeat,"Sion,Graves,Orianna,Tristana,Gragas"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3365446332&summonerId=25260179&gameTime=1538387237,(Blue Team),(Red Team),"Aatrox,Lee Sin,Syndra,Tristana,Pyke",Defeat,"Urgot,Graves,LeBlanc,Lucian,Soraka"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3364620096&summonerId=25260179&gameTime=1538302602,(Blue Team),(Red Team),"Gangplank,Gragas,Irelia,Cho'Gath,Alistar",Defeat,"Fiora,Trundle,LeBlanc,Jinx,Thresh"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3364328509&summonerId=25260179&gameTime=1538300248,(Blue Team),(Red Team),"Kennen,Camille,Aatrox,Yasuo,Gragas",Victory,"Urgot,Taliyah,Renekton,Lucian,Thresh"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3365403781&summonerId=25260179&gameTime=1538385472,(Blue Team),(Red Team),"Gragas,LeBlanc,Urgot,Lee Sin,Vayne",Defeat,"Kai'Sa,Pyke,Aatrox,Nidalee,Irelia"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3363949021&summonerId=25260179&gameTime=1538285530,(Blue Team),(Red Team),"Lissandra,Thresh,Lucian,Zed,Kindred",Defeat,"Zoe,Akali,Olaf,Pyke,Kai'Sa"
