"gameid","gametype","blue","red","resulta","url","SPLIT_STR(blue,',', 1)","SPLIT_STR(blue,',', 2)","SPLIT_STR(blue,',', 3)","SPLIT_STR(blue,',', 4)","SPLIT_STR(blue,',', 5)","SPLIT_STR(red,',',1)","SPLIT_STR(red,',',2)","SPLIT_STR(red,',',3)","SPLIT_STR(red,',',4)","SPLIT_STR(red,',',5)"
"3214100760","Ranked Solo","Irelia,Olaf,Vladimir,Kai'Sa,Nautilus","Malphite,Camille,Ryze,Kog'Maw,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214100760&summonerId=64250795&gameTime=1527006837","Irelia","Olaf","Vladimir","Kai'Sa","Nautilus","Malphite","Camille","Ryze","Kog'Maw","Alistar"
"3214100760","Ranked Solo","Irelia,Olaf,Vladimir,Kai'Sa,Nautilus","Malphite,Camille,Ryze,Kog'Maw,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214100760&summonerId=64250795&gameTime=1527006837","Irelia","Olaf","Vladimir","Kai'Sa","Nautilus","Malphite","Camille","Ryze","Kog'Maw","Alistar"
"3214107117","Ranked Solo","Xin Zhao,Ezreal,Camille,LeBlanc,Alistar","Kai'Sa,Gnar,Skarner,Zoe,Tahm Kench","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214107117&summonerId=25260179&gameTime=1527010179","Xin Zhao","Ezreal","Camille","LeBlanc","Alistar","Kai'Sa","Gnar","Skarner","Zoe","Tahm Kench"
"3214107547","Ranked Solo","Rakan,Lee Sin,Renekton,Xayah,Zoe","Xin Zhao,Kai'Sa,Irelia,Shen,Nautilus","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214107547&summonerId=41913808&gameTime=1527010114","Rakan","Lee Sin","Renekton","Xayah","Zoe","Xin Zhao","Kai'Sa","Irelia","Shen","Nautilus"
"3214107547","Ranked Solo","Rakan,Lee Sin,Renekton,Xayah,Zoe","Xin Zhao,Kai'Sa,Irelia,Shen,Nautilus","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214107547&summonerId=41913808&gameTime=1527010114","Rakan","Lee Sin","Renekton","Xayah","Zoe","Xin Zhao","Kai'Sa","Irelia","Shen","Nautilus"
"3214107547","Ranked Solo","Rakan,Lee Sin,Renekton,Xayah,Zoe","Xin Zhao,Kai'Sa,Irelia,Shen,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214107547&summonerId=64250795&gameTime=1527010114","Rakan","Lee Sin","Renekton","Xayah","Zoe","Xin Zhao","Kai'Sa","Irelia","Shen","Nautilus"
"3214107547","Ranked Solo","Rakan,Lee Sin,Renekton,Xayah,Zoe","Xin Zhao,Kai'Sa,Irelia,Shen,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214107547&summonerId=64250795&gameTime=1527010114","Rakan","Lee Sin","Renekton","Xayah","Zoe","Xin Zhao","Kai'Sa","Irelia","Shen","Nautilus"
"3214130203","Ranked Solo","Zilean,Kindred,Ornn,Kog'Maw,Thresh","Shen,Graves,Twisted Fate,Kai'Sa,Janna","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214130203&summonerId=25260179&gameTime=1527006715","Zilean","Kindred","Ornn","Kog'Maw","Thresh","Shen","Graves","Twisted Fate","Kai'Sa","Janna"
"3214134192","Ranked Solo","Xin Zhao,Cassiopeia,Cho'Gath,Tristana,Nautilus","Trundle,Braum,Kog'Maw,Vladimir,Ornn","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214134192&summonerId=41913808&gameTime=1527008295","Xin Zhao","Cassiopeia","Cho'Gath","Tristana","Nautilus","Trundle","Braum","Kog'Maw","Vladimir","Ornn"
"3214134192","Ranked Solo","Xin Zhao,Cassiopeia,Cho'Gath,Tristana,Nautilus","Trundle,Braum,Kog'Maw,Vladimir,Ornn","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214134192&summonerId=41913808&gameTime=1527008295","Xin Zhao","Cassiopeia","Cho'Gath","Tristana","Nautilus","Trundle","Braum","Kog'Maw","Vladimir","Ornn"
